 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
534 90.14 3.77 0.0 0.0 6.09 0.0 0.0 0.0 0.0 0.0 0.0
535 89.91 5.81 0.0 0.0 4.28 0.0 0.0 0.0 0.0 0.0 0.0
536 86.2 10.57 0.0 0.0 3.22 0.0 0.0 0.0 0.0 0.0 0.0
537 85.56 7.89 0.0 0.0 6.54 0.0 0.0 0.0 0.0 0.0 0.0
538 83.0 8.9 0.0 0.0 8.1 0.0 0.0 0.0 0.0 0.0 0.0
539 81.29 6.31 0.0 0.0 12.4 0.0 0.0 0.0 0.0 0.0 0.0
540 78.14 16.49 0.0 0.0 5.37 0.0 0.0 0.0 0.0 0.0 0.0
541 77.73 11.59 0.0 0.0 10.68 0.0 0.0 0.0 0.0 0.0 0.0
542 76.97 14.45 0.0 0.0 8.57 0.0 0.0 0.0 0.0 0.0 0.0
543 75.51 8.55 0.0 0.0 15.93 0.0 0.0 0.0 0.0 0.0 0.0
544 75.82 12.41 0.0 0.0 11.77 0.0 0.0 0.0 0.0 0.0 0.0
545 76.27 18.35 0.0 0.0 5.38 0.0 0.0 0.0 0.0 0.0 0.0
546 75.04 5.93 0.0 0.0 19.03 0.0 0.0 0.0 0.0 0.0 0.0
547 75.72 18.1 0.0 0.0 6.18 0.0 0.0 0.0 0.0 0.0 0.0
548 74.32 4.28 0.0 0.0 21.4 0.0 0.0 0.0 0.0 0.0 0.0
549 75.2 16.72 0.0 0.0 8.07 0.0 0.0 0.0 0.0 0.0 0.0
550 75.0 16.96 0.0 0.0 8.03 0.0 0.0 0.0 0.0 0.0 0.0
551 74.79 14.54 0.0 0.0 10.66 0.0 0.0 0.0 0.0 0.0 0.0
552 74.65 12.93 0.0 0.0 12.42 0.0 0.0 0.0 0.0 0.0 0.0
554 74.51 14.7 0.0 0.0 10.79 0.0 0.0 0.0 0.0 0.0 0.0
555 74.5 14.78 0.0 0.0 10.72 0.0 0.0 0.0 0.0 0.0 0.0
556 73.44 5.14 0.0 0.0 21.42 0.0 0.0 0.0 0.0 0.0 0.0
557 73.36 5.22 0.0 0.0 21.42 0.0 0.0 0.0 0.0 0.0 0.0
558 73.33 5.48 0.0 0.0 21.18 0.0 0.0 0.0 0.0 0.0 0.0
559 69.8 14.23 0.0 0.0 15.97 0.0 0.0 0.0 0.0 0.0 0.0
560 70.39 22.6 0.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0
561 70.49 24.2 0.0 0.0 5.31 0.0 0.0 0.0 0.0 0.0 0.0
562 69.65 15.34 0.0 0.0 15.01 0.0 0.0 0.0 0.0 0.0 0.0
563 70.25 24.04 0.0 0.0 5.71 0.0 0.0 0.0 0.0 0.0 0.0
564 70.15 24.88 0.0 0.0 4.96 0.0 0.0 0.0 0.0 0.0 0.0
565 69.49 16.63 0.0 0.0 13.87 0.0 0.0 0.0 0.0 0.0 0.0
566 69.5 25.11 0.0 0.0 5.39 0.0 0.0 0.0 0.0 0.0 0.0
567 67.92 5.3 0.0 0.0 26.77 0.0 0.0 0.0 0.0 0.0 0.0
568 68.58 19.88 0.0 0.0 11.53 0.0 0.0 0.0 0.0 0.0 0.0
569 68.17 20.24 0.0 0.0 11.59 0.0 0.0 0.0 0.0 0.0 0.0
570 67.55 13.29 0.0 0.0 19.16 0.0 0.0 0.0 0.0 0.0 0.0
571 68.23 24.25 0.0 0.0 7.52 0.0 0.0 0.0 0.0 0.0 0.0
572 67.73 21.41 0.0 0.0 10.86 0.0 0.0 0.0 0.0 0.0 0.0
573 67.11 18.97 0.0 0.0 13.91 0.0 0.0 0.0 0.0 0.0 0.0
574 66.01 3.68 0.0 0.0 30.31 0.0 0.0 0.0 0.0 0.0 0.0
575 66.59 16.82 0.0 0.0 16.59 0.0 0.0 0.0 0.0 0.0 0.0
576 65.62 5.69 0.0 0.0 28.68 0.0 0.0 0.0 0.0 0.0 0.0
577 66.04 11.93 0.0 0.0 22.03 0.0 0.0 0.0 0.0 0.0 0.0
578 66.48 22.73 0.0 0.0 10.79 0.0 0.0 0.0 0.0 0.0 0.0
579 66.08 18.03 0.0 0.0 15.89 0.0 0.0 0.0 0.0 0.0 0.0
580 65.77 17.15 0.0 0.0 17.08 0.0 0.0 0.0 0.0 0.0 0.0
581 65.66 18.28 0.0 0.0 16.05 0.0 0.0 0.0 0.0 0.0 0.0
582 65.53 18.47 0.0 0.0 15.99 0.0 0.0 0.0 0.0 0.0 0.0
583 64.66 8.66 0.0 0.0 26.68 0.0 0.0 0.0 0.0 0.0 0.0
