 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
16128 11.11 0.0 0.0 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16129 5.88 0.0 0.0 17.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16130 7.69 0.0 0.0 92.31 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16131 3.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16345 22.52 0.0 16.58 0.0 30.16 16.78 0.0 0.0 0.0 0.0 0.0
16346 46.93 0.0 18.43 0.0 0.0 23.31 0.0 0.0 0.0 0.0 0.0
16347 27.51 0.0 12.97 0.0 29.48 16.4 0.0 0.0 0.0 0.0 0.0
16348 26.8 0.0 9.48 0.0 34.46 15.98 0.0 0.0 0.0 0.0 0.0
16349 28.62 0.0 13.49 0.0 30.66 17.06 0.0 0.0 0.0 0.0 0.0
16350 30.24 0.0 14.25 0.0 25.92 18.03 0.0 0.0 0.0 0.0 0.0
16351 27.95 0.0 13.17 0.0 23.96 25.0 0.0 0.0 0.0 0.0 0.0
16352 29.15 0.0 13.74 0.0 24.99 17.38 0.0 0.0 0.0 0.0 0.0
