Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
136, GP02-350412, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.444, , , , , , , , , , 
137, GP02-350413, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.472, , , , , , , , , , 
138, GP02-350414, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.473, , , , , , , , , , 
139, GP02-350415, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.424, , , , , , , , , , 
140, GP02-350417, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.48, , , , , , , , , , 
141, GP02-350418, Japanese Patent    Corning Inc. (US), 2012, A528072, , , , 2.46, , , , , , , , , , 
142, GP09-350419, Japanese Patent    Du Pon't de Nemours (US), 2012, A530664, , , , 4.85, , , , , , , , , , 
143, GP09-350420, Japanese Patent    Du Pon't de Nemours (US), 2012, A530664, , , , 5.33, , , , , , , , , , 
144, GP09-350421, Japanese Patent    Du Pon't de Nemours (US), 2012, A530664, , , , 5.63, , , , , , , , , , 
145, GP09-350422, Japanese Patent    Du Pon't de Nemours (US), 2012, A530664, , , , 5.01, , , , , , , , , , 
146, GP09-350423, Japanese Patent    Du Pon't de Nemours (US), 2012, A530664, , , , 4.83, , , , , , , , , , 
147, GP06-350438, Japanese Patent    Chongqing Polycomp Int'l Corp. (CN), 2012, A531373, , , , , , , 91.0, , , , , , , 
148, GP03-350540, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 3.591, , , , , , , , , , 
149, GP03-350541, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 4.202, , , , , , , , , , 
150, GP03-350542, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 4.395, , , , , , , , , , 
151, GP03-350543, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 4.129, , , , , , , , , , 
152, GP03-350544, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 4.127, , , , , , , , , , 
153, GP03-350545, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 3.935, , , , , , , , , , 
154, GP03-350546, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 4.11, , , , , , , , , , 
155, GP03-350547, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 3.987, , , , , , , , , , 
156, GP03-350548, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 3.921, , , , , , , , , , 
157, GP03-350549, Japanese Patent    Hoya Corp. (J), 2012, A229135, , , , 3.893, , , , , , , , , , 
158, GP03-350570, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.83, , , 78.0, , , , , , , 
159, GP03-350571, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.84, , , 77.0, , , , , , , 
160, GP03-350572, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.86, , , 78.0, , , , , , , 
161, GP03-350573, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.86, , , 77.0, , , , , , , 
162, GP03-350574, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.84, , , 77.0, , , , , , , 
163, GP03-350575, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.89, , , 77.0, , , , , , , 
164, GP03-350576, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.83, , , 73.0, , , , , , , 
165, GP03-350577, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.83, , , 74.0, , , , , , , 
166, GP03-350578, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 2.82, , , 73.0, , , , , , , 
167, GP03-350579, Japanese Patent    Nippon Electric Glass (J), 2012, A229157, , , , 3.19, , , , , , , , , , 
